id,date,rating,comment
326*****,2026-07-19 15:03:00,1,시간과 돈이 아까은 영화펑론할 가치도 없는..그래도평론가나 감독들은 칭찬할듯품잇이 하듯이.
433*****,2026-07-19 09:56:45,1,쌍욕만 난무하는 유치짬뽕 절대보지마라 돈아깝고 시간아깝다 중간에 나오고싶더라
207*****,2026-07-19 09:52:55,10,또  볼  예정이에요너무  잼나요
499*****,2026-07-19 05:34:08,10,3부작이라는데 후속작이 기대되는재미있고 잘 만든 영화였어요.
397*****,2026-07-19 04:36:44,7,영화적 쾌감 이후 남은 건 관객들의 한숨뿐.
499*****,2026-07-19 04:02:36,7,"적당히 재밌는 오락영화왜 이렇게 다들 화가 나있고, 한낱 오락영화에 뭔 의미를 찾으려는지 모르겠음"
218*****,2026-07-19 01:17:20,1,"후기 남기려고 가입했습니다 .귀중한 시간과 돈을 날려버려 화가 나네요.개연성 없고 앞뒤가 안맞는 상황 ,욕하고 화만 내는 발연기, 주구장창 달리기 액션,엉성한 CG ....심형래의 디워가 훨씬 더 낫습니다.평점 높은 댓글은 대부분 알바, 에 제 손모가지 겁니다 !"
110*****,2026-07-19 00:55:04,6,차라리 처음부터 재미 없었더라면 배신 당하지 않았을텐데...왜 재밌게 가다가 그렇게 끝난걸까
303*****,2026-07-18 23:47:45,10,근 3년간 본 영화중 최고입니다
499*****,2026-07-18 23:15:34,3,대환장 파티
459*****,2026-07-18 20:17:52,8,황정민이 총 어디서 났냐고 물어보지만 아무도 대답하지 않는데.그냥 묻지말고 생각하지말고 보라는 감독의 강력한 의사 표시
